division,availability,submitter,system,host_processor_model_name,host_processors_count,accelerator_model_name,accelerators_count,framework,notes,bert,dlrm,maskrcnn,minigo,resnet,ssd,rnnt,unet3d,details_url,code_url
closed,available,SUPERMICRO,AS-4124GO-NART+,AMD EPYC 7763,2,NVIDIA A100-SXM4-80GB (400W),8,"MXNet NVIDIA Release 22.04, PyTorch NVIDIA Relase 22.04, TensorFlow NVIDIA Release 22.04",,19.82848125,,43.78657222222222,,28.110200000000003,,31.291016666666664,,https://github.com/mlcommons/training_results_v2.0/blob/master/SUPERMICRO/systems/AS-4124GO-NART+.json,https://github.com/mlcommons/training_results_v2.0/blob/master/SUPERMICRO/benchmarks
closed,available,Supermicro,SYS-420GH-TNGR,Intel(R) Xeon(R) Platinum 8368 CPU @ 2.40GHz,2,Habana Gaudi HL-205,8,TensorFlow 2.5.1,,,,,,57.10678888888888,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/SYS-420GH-TNGR.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
closed,available,Supermicro,SYS-420GH-TNGR,Intel(R) Xeon(R) Platinum 8368 CPU @ 2.40GHz,4,Habana Gaudi HL-205,16,TensorFlow 2.5.1,,,,,,31.90436111111111,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/SYS-420GH-TNGR.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
closed,available,Supermicro,SYS-420GP-TNAR_hugectr,Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,2,NVIDIA A100-SXM4-80GB (400W),8,Hugectr NVIDIA Release 22.04,,,1.7290555555555553,,,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/SYS-420GP-TNAR_hugectr.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
closed,available,Supermicro,SYS-420GP-TNAR_mxnet,Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,2,NVIDIA A100-SXM4-80GB (400W),8,MXNet NVIDIA Release 22.04,,,,,,28.302255555555558,,,23.287796874999998,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/SYS-420GP-TNAR_mxnet.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
closed,available,Supermicro,SYS-420GP-TNAR_pytorch,Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,2,NVIDIA A100-SXM4-80GB (400W),8,PyTorch NVIDIA Release 22.04,,20.0864625,,44.24435,,,219.3216666666667,38.88343541666667,,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/SYS-420GP-TNAR_pytorch.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
closed,available,Supermicro,SYS-420GP-TNAR_tensorflow,Intel(R) Xeon(R) Platinum 8380 CPU @ 2.30GHz,2,NVIDIA A100-SXM4-80GB (400W),8,TensorFlow NVIDIA Release 22.04,,,,,329.79841875,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/SYS-420GP-TNAR_tensorflow.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
closed,available,Supermicro,as-4124gs-tnr,AMD EPYC 7713 64-Core Processor,2,NVIDIA A100-PCIe-80GB-300W,8,MXNet NVIDIA Release 20.06,,,,,,,,,28.889966666666666,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/systems/as-4124gs-tnr.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Supermicro/benchmarks
